name;ort;x;y
287625609;matsimNetworkNode;740656.8;5690682.83
2186966401;matsimNetworkNode;739462.3300000001;5687636.359999999
1834068472;matsimNetworkNode;739180.3300000001;5689331.96
4560839972;matsimNetworkNode;739664.8400000001;5689062.699999999
6414898758;matsimNetworkNode;739745.18;5689162.85
6414898759;matsimNetworkNode;739622.1100000001;5689101.54
cluster_21715370_4150749195;matsimNetworkNode;738935.75;5688202.41
4562542903;matsimNetworkNode;739826.6000000001;5689306.74
6414898760;matsimNetworkNode;739683.48;5689132.66
4562542902;matsimNetworkNode;739839.77;5689315.109999999
80102725;matsimNetworkNode;740546.66;5688412.12
287624995;matsimNetworkNode;740656.2;5690587.91
366042473;matsimNetworkNode;739548.22;5689005.08
cluster_286738142_287606135;matsimNetworkNode;740738.5800000001;5689883.24
287607179;matsimNetworkNode;740735.73;5690377.26
242623401;matsimNetworkNode;739676.91;5688222.06
6296773441;matsimNetworkNode;738836.17;5689310.87
289404767;matsimNetworkNode;740034.3600000001;5690629.27
2712536199;matsimNetworkNode;738818.93;5687937.16
289404522;matsimNetworkNode;740457.4;5690417.699999999
2656921373;matsimNetworkNode;738996.1000000001;5688992.859999999
287635768;matsimNetworkNode;741734.47;5690732.4799999995
4813280482;matsimNetworkNode;738646.74;5689604.31
4813280484;matsimNetworkNode;738645.5700000001;5689572.87
242615918;matsimNetworkNode;739837.06;5686971.97
6175326961;matsimNetworkNode;740052.25;5687932.66
6175326960;matsimNetworkNode;740070.88;5687913.4799999995
196131677;matsimNetworkNode;738494.31;5688130.1899999995
6175326964;matsimNetworkNode;740145.8;5687838.01
3360189275;matsimNetworkNode;738846.94;5689218.49
623246334;matsimNetworkNode;739602.8500000001;5689664.01
2712536187;matsimNetworkNode;738659.02;5687952.56
287634345;matsimNetworkNode;741735.9;5690768.18
287634344;matsimNetworkNode;741723.4;5690591.54
938291548;matsimNetworkNode;738703.55;5689278.37
242612779;matsimNetworkNode;740284.69;5687002.58
2712536179;matsimNetworkNode;738737.18;5687945.029999999
365116397;matsimNetworkNode;739830.88;5689145.7299999995
366041043;matsimNetworkNode;739224.44;5688891.27
1834068480;matsimNetworkNode;739286.3400000001;5689333.13
365119656;matsimNetworkNode;739667.87;5688923.37
287615952;matsimNetworkNode;740877.81;5690103.17
938291554;matsimNetworkNode;738711.64;5689283.529999999
242612781;matsimNetworkNode;740192.45;5687327.029999999
