name;ort;x;y
2590098571;matsimNetworkNode;740541.5;5689151.62
298867648;matsimNetworkNode;730951.01;5696830.8
cluster_1100446920_1100446930;matsimNetworkNode;733908.14;5693217.9399999995
143576383;matsimNetworkNode;738264.17;5694958.84
3662761586;matsimNetworkNode;743092.49;5692832.58
391956815;matsimNetworkNode;730831.14;5684798.97
289404774;matsimNetworkNode;739965.28;5690666.29
3368192335;matsimNetworkNode;741861.16;5694473.37
288379402;matsimNetworkNode;728937.72;5689627.51
97657733;matsimNetworkNode;732654.99;5695917.93
262686008;matsimNetworkNode;732371.65;5698419.27
266647406;matsimNetworkNode;728784.1000000001;5691096.3
262686009;matsimNetworkNode;732325.47;5698412.029999999
788517479;matsimNetworkNode;734379.18;5693391.21
391277762;matsimNetworkNode;729933.51;5684719.13
369814619;matsimNetworkNode;733646.25;5692053.24
3908763508;matsimNetworkNode;728155.73;5685688.26
2590098564;matsimNetworkNode;740511.3200000001;5689135.18
5208065389;matsimNetworkNode;738826.96;5689358.279999999
144246474;matsimNetworkNode;737425.8200000001;5690284.71
2049525297;matsimNetworkNode;734182.4;5692176.21
2049525295;matsimNetworkNode;734209.5900000001;5692169.67
245471094;matsimNetworkNode;741185.65;5692604.41
60302623;matsimNetworkNode;737989.77;5697544.02
3368192321;matsimNetworkNode;741870.46;5694594.01
2078513064;matsimNetworkNode;734166.8;5696463.67
3143677916;matsimNetworkNode;739948.94;5691467.029999999
cluster_31069138_59766066;matsimNetworkNode;736592.16;5693937.56
144204634;matsimNetworkNode;737083.0900000001;5692463.16
248924575;matsimNetworkNode;741021.38;5694630.09
217603498;matsimNetworkNode;739128.27;5693395.76
2675091557;matsimNetworkNode;733636.8600000001;5692069.859999999
97657705;matsimNetworkNode;732693.89;5695947.27
197781775;matsimNetworkNode;736769.81;5692104.109999999
4591603985;matsimNetworkNode;728050.97;5693110.05
417408172;matsimNetworkNode;733567.87;5694152.62
308632932;matsimNetworkNode;736328.96;5689685.25
203589469;matsimNetworkNode;740893.97;5694760.529999999
1130932599;matsimNetworkNode;728317.94;5698018.46
cluster_268772953_269543187;matsimNetworkNode;741115.87;5691598.37
203589466;matsimNetworkNode;741096.8400000001;5694694.43
313582831;matsimNetworkNode;741901.51;5702953.26
cluster_25924939_25925181;matsimNetworkNode;735082.24;5689778.319999999
760466914;matsimNetworkNode;734712.77;5691807.04
9546963700;matsimNetworkNode;734239.49;5698392.06
760466910;matsimNetworkNode;734660.0900000001;5691506.02
268872531;matsimNetworkNode;729150.02;5690359.069999999
301770169;matsimNetworkNode;729963.3200000001;5697482.569999999
268872532;matsimNetworkNode;729184.63;5690250.81
3320035726;matsimNetworkNode;736648.49;5695594.609999999
268872534;matsimNetworkNode;729093.14;5690340.9799999995
cluster_145912340_145912343;matsimNetworkNode;732231.3;5699201.12
270694643;matsimNetworkNode;735594.01;5698104.31
181319997;matsimNetworkNode;733006.7;5696372.6
181319998;matsimNetworkNode;733027.89;5696415.13
1655851036;matsimNetworkNode;739520.51;5692412.1
4449783502;matsimNetworkNode;740591.44;5700349.63
270694646;matsimNetworkNode;735509.52;5698092.7299999995
270694644;matsimNetworkNode;735565.96;5698102.46
cluster_293947903_96618795;matsimNetworkNode;731941.8;5688847.9799999995
143514002;matsimNetworkNode;737747.05;5694798.609999999
197780454;matsimNetworkNode;736514.62;5692270.149999999
197780453;matsimNetworkNode;736575.8200000001;5692351.029999999
333177131;matsimNetworkNode;730753.15;5685235.46
268136002;matsimNetworkNode;727205.38;5689427.34
671494575;matsimNetworkNode;731589.73;5697232.359999999
323161729;matsimNetworkNode;741906.71;5685274.77
25390891;matsimNetworkNode;740401.91;5699101.96
4559069241;matsimNetworkNode;733537.89;5696853.67
25390898;matsimNetworkNode;740102.73;5699111.71
2525517574;matsimNetworkNode;737297.54;5692929.74
315360627;matsimNetworkNode;726597.45;5691070.54
cluster_423781255_429827454;matsimNetworkNode;727261.55;5693008.81
196383518;matsimNetworkNode;734754.1000000001;5689262.279999999
1533283379;matsimNetworkNode;738400.0;5699970.569999999
316052194;matsimNetworkNode;728040.46;5692926.99
215172896;matsimNetworkNode;734541.63;5694485.02
1411409402;matsimNetworkNode;729939.28;5691203.06
5351890376;matsimNetworkNode;732267.23;5696251.63
1225431174;matsimNetworkNode;729535.4;5688949.46
122023901;matsimNetworkNode;734260.1000000001;5695326.529999999
7466290839;matsimNetworkNode;740007.26;5695704.09
82688110;matsimNetworkNode;731258.9;5696968.24
cluster_286310278_5584095342;matsimNetworkNode;729080.93;5698860.12
267420506;matsimNetworkNode;736053.94;5695952.449999999
cluster_2587885154_4585250847;matsimNetworkNode;735386.38;5699206.74
3273043779;matsimNetworkNode;727643.03;5688313.1899999995
267420502;matsimNetworkNode;736254.05;5695797.49
261919267;matsimNetworkNode;735476.44;5689697.38
2756386209;matsimNetworkNode;737456.46;5690739.6899999995
2266337250;matsimNetworkNode;741928.24;5687026.41
2896961150;matsimNetworkNode;735940.93;5696621.3
2896961151;matsimNetworkNode;735842.18;5696611.24
cluster_2571875707_30308497_6126349864;matsimNetworkNode;735015.48;5692394.25
287617198;matsimNetworkNode;740973.3200000001;5689926.4799999995
122023909;matsimNetworkNode;734303.6100000001;5695136.069999999
4431484734;matsimNetworkNode;737503.69;5697069.109999999
cluster_2166018886_4798784381;matsimNetworkNode;731888.26;5698342.1
165156028;matsimNetworkNode;735750.74;5700381.699999999
282008516;matsimNetworkNode;741699.04;5695156.59
253761713;matsimNetworkNode;731064.53;5689513.05
cluster_197701473_59245424;matsimNetworkNode;734727.8200000001;5690351.2299999995
1225431167;matsimNetworkNode;729565.7;5689271.819999999
3273043788;matsimNetworkNode;727635.81;5688447.42
cluster_25581964_316060571;matsimNetworkNode;727234.5900000001;5693206.97
253761714;matsimNetworkNode;731002.44;5689566.51
211263178;matsimNetworkNode;735187.69;5694030.699999999
265599470;matsimNetworkNode;736813.2;5689275.41
cluster_1344379192_59849817;matsimNetworkNode;729147.8;5694753.88
317605439;matsimNetworkNode;734113.27;5696470.199999999
144208162;matsimNetworkNode;737698.28;5692454.96
cluster_314752877_314753766;matsimNetworkNode;742834.99;5686122.529999999
293238500;matsimNetworkNode;735705.56;5696923.6899999995
3368896750;matsimNetworkNode;742369.95;5694569.29
25390865;matsimNetworkNode;738761.49;5696658.34
262681199;matsimNetworkNode;731161.93;5698591.17
512074520;matsimNetworkNode;736338.26;5698357.8
cluster_105897406_2719969829;matsimNetworkNode;736584.5700000001;5691292.43
1390346806;matsimNetworkNode;734902.65;5698761.62
279144221;matsimNetworkNode;731230.53;5686535.569999999
315359683;matsimNetworkNode;726424.0800000001;5691131.7299999995
130064619;matsimNetworkNode;738859.89;5694015.76
2574219859;matsimNetworkNode;740724.0800000001;5696797.6899999995
385297659;matsimNetworkNode;734328.4;5699325.52
279145558;matsimNetworkNode;730450.49;5685667.59
cluster_59849885_59849892;matsimNetworkNode;729127.24;5695199.87
423896520;matsimNetworkNode;732750.0900000001;5692042.33
2450542093;matsimNetworkNode;730164.0700000001;5684868.819999999
6542135034;matsimNetworkNode;734334.56;5693324.109999999
317605441;matsimNetworkNode;734303.51;5696446.51
2450542095;matsimNetworkNode;730248.91;5684980.6899999995
3248501877;matsimNetworkNode;738431.0800000001;5699812.199999999
3248501876;matsimNetworkNode;738432.63;5699790.59
30580991;matsimNetworkNode;737691.63;5690680.89
67446918;matsimNetworkNode;738315.49;5691185.14
30580997;matsimNetworkNode;737488.45;5690735.89
69426256;matsimNetworkNode;741383.67;5689592.42
60592581;matsimNetworkNode;731880.5800000001;5690846.42
60592580;matsimNetworkNode;731873.6100000001;5690708.899999999
144462201;matsimNetworkNode;736533.98;5693011.63
262484582;matsimNetworkNode;735179.95;5688946.819999999
18346311;matsimNetworkNode;731546.16;5692159.529999999
391956799;matsimNetworkNode;730945.16;5684832.6899999995
60592576;matsimNetworkNode;731807.73;5690852.02
60592577;matsimNetworkNode;731798.67;5690706.43
cluster_310463715_929254036_929254068_93790955;matsimNetworkNode;727741.1000000001;5697452.1899999995
2359931584;matsimNetworkNode;733708.87;5697813.54
298280911;matsimNetworkNode;730310.3500000001;5696992.399999999
370807208;matsimNetworkNode;742630.46;5692664.31
69426265;matsimNetworkNode;740152.5900000001;5690191.279999999
1964831915;matsimNetworkNode;736308.18;5690349.58
cluster_16572774_30216450;matsimNetworkNode;735102.74;5694523.4799999995
cluster_2677838845_2677839386;matsimNetworkNode;740794.1100000001;5686766.27
1635384730;matsimNetworkNode;733123.52;5690524.12
88152499;matsimNetworkNode;727897.65;5689128.59
262382576;matsimNetworkNode;731080.31;5698439.569999999
3228850885;matsimNetworkNode;735614.47;5691306.14
cluster_21633362_3241061837;matsimNetworkNode;742267.3500000001;5694564.609999999
192313540;matsimNetworkNode;738111.1100000001;5693867.47
1864342889;matsimNetworkNode;730556.93;5685671.5
189054708;matsimNetworkNode;731111.65;5685751.46
60021965;matsimNetworkNode;733038.22;5690238.56
cluster_12352371_59973333;matsimNetworkNode;731382.87;5696693.4799999995
cluster_30581000_30581003;matsimNetworkNode;737434.31;5690736.09
31937222;matsimNetworkNode;735017.5900000001;5689452.609999999
391967478;matsimNetworkNode;727969.75;5684257.67
192313542;matsimNetworkNode;738036.6000000001;5693880.34
1864342886;matsimNetworkNode;730575.04;5685669.91
391967482;matsimNetworkNode;727956.3400000001;5684278.91
1964831929;matsimNetworkNode;736284.7;5690381.49
cluster_105923520_17086105_276448524;matsimNetworkNode;735761.63;5692876.13
7619712468;matsimNetworkNode;733243.48;5693876.18
cluster_1975895435_269678187;matsimNetworkNode;729292.8400000001;5689482.68
1526145307;matsimNetworkNode;742009.44;5686380.21
60021953;matsimNetworkNode;733086.41;5690269.63
60464359;matsimNetworkNode;728918.8500000001;5693851.02
49548896;matsimNetworkNode;734494.78;5691177.16
60464358;matsimNetworkNode;728879.46;5693849.149999999
60021951;matsimNetworkNode;732974.8200000001;5690470.899999999
60592572;matsimNetworkNode;732186.95;5690811.109999999
60021952;matsimNetworkNode;733026.44;5690289.75
