leipzig_id
244_1529
14655_5082
11530_11499
1073_1475
542_14434
14434_542
14364_426
426_14364
14404_742
742_14404
1040_14411
14166_14165
14165_14166
14923_14938
14938_14923
10026_10033
6916_6967
6967_6916
1135_20355
14814_282
282_14814
6980_6982
14267_11473
11473_14267
14393_126
122_1046
1046_122
14366_17561
17561_14366
11027_11028
11027_11026
11026_11027
11005_11026
11026_11005
14261;14943
1073;14275
740;18404
18404;740
14278;14267
1147;14267
1571;1566
1566;1571
