Stop ID,Link ID,X,Y
2078513064,-1004976740,734166.8,5696463.67
3143677916,-265930890#0,739948.94,5691467.029999999
cluster_31069138_59766066,64455477#1,736592.16,5693937.56
144204634,-14624828#0,737083.0900000001,5692463.16
248924575,19605310,741021.38,5694630.09
217603498,-1021500991,739128.27,5693395.76
2675091557,145853220#0,733636.8600000001,5692069.859999999
97657705,-19743099,732693.89,5695947.27
197781775,19080095#2,736769.81,5692104.109999999
4591603985,-28745122#0,728050.97,5693110.05
417408172,-314786781,733567.87,5694152.62
308632932,-19795476,736328.96,5689685.25
203589469,19604234#5,740893.97,5694760.529999999
1130932599,-404367130,728317.94,5698018.46
cluster_268772953_269543187,-24729070,741115.87,5691598.37
203589466,19604234#0,741096.8400000001,5694694.43
313582831,28547172#0,741901.51,5702953.26
cluster_25924939_25925181,-315230482,735082.24,5689778.319999999
760466914,-165114353#0,734712.77,5691807.04
9546963700,-1036237828,734239.49,5698392.06
760466910,160988456,734660.0900000001,5691506.02
268872531,-24739578,729150.02,5690359.069999999
301770169,27170251#1,729963.3200000001,5697482.569999999
268872532,24739578,729184.63,5690250.81
3320035726,24227413#0,736628.29,5695543.699999999
268872534,-24739580#0,729093.14,5690340.9799999995
cluster_145912340_145912343,185487527#0,732231.3,5699201.12
270694643,24912357#0,735594.01,5698104.31
181319997,17506085#2,733006.7,5696372.6
181319998,17506085#3,733027.89,5696415.13
1655851036,-152808201,739520.51,5692412.1
4449783502,447922499,740591.44,5700349.63
270694646,24912357#2,735509.52,5698092.7299999995
270694644,24912357#1,735565.96,5698102.46
cluster_293947903_96618795,-10872970,731941.8,5688847.9799999995
143514002,-14568311#0,737747.05,5694798.609999999
197780454,430785327#1,736514.62,5692270.149999999
197780453,-19080252#0,736575.8200000001,5692351.029999999
333177131,14849846#0,730753.15,5685235.46
268136002,-24669541,727205.38,5689427.34
671494575,27230847#0,731589.73,5697232.359999999
323161729,29379612,741906.71,5685274.77
25390891,894069878,740401.91,5699101.96
4559069241,-637436161,733537.89,5696853.67
25390898,24401704,740102.73,5699111.71
2525517574,23690525,737384.92,5692867.4799999995
315360627,28690768#1,726597.45,5691070.54
cluster_423781255_429827454,28899182,727261.55,5693008.81
196383518,18968634,734754.1000000001,5689262.279999999
1533283379,-318445887,738400.0,5699970.569999999
316052194,33996300#1,728040.46,5692926.99
215172896,15738507#4,734541.63,5694485.02
1411409402,127554732#0,729939.28,5691203.06
5351890376,-554579566,732267.23,5696251.63
1225431174,106518512#1,729535.4,5688949.46
122023901,-13227455#0,734260.1000000001,5695326.529999999
7466290839,798279888,740007.26,5695704.09
82688110,-25968896,731258.9,5696968.24
cluster_286310278_5584095342,-26144323#1,729080.93,5698860.12
267420506,10437244#4,736053.94,5695952.449999999
cluster_2587885154_4585250847,-16237031,735386.38,5699206.74
3273043779,25369723#0,727643.03,5688313.1899999995
267420502,10437244#2,736254.05,5695797.49
261919267,24183855,735476.44,5689697.38
2756386209,-672750600,737456.46,5690739.6899999995
2266337250,217361356#0,741928.24,5687026.41
2896961150,286061822#2,735940.93,5696621.3
2896961151,286061822#0,735842.18,5696611.24
cluster_2571875707_30308497_6126349864,19076704#1,735015.48,5692394.25
287617198,26261267#1,740973.3200000001,5689926.4799999995
122023909,10492968#2,734303.6100000001,5695136.069999999
4431484734,-22737796,737503.69,5697069.109999999
cluster_2166018886_4798784381,487418367#0,731888.26,5698342.1
165156028,223117148,735939.79,5700326.76
282008516,238214444#1,741699.04,5695156.59
253761713,23430380#0,731064.53,5689513.05
cluster_197701473_59245424,165264456,734727.8200000001,5690351.2299999995
1225431167,-106518518,729565.7,5689271.819999999
3273043788,23249225#5,727635.81,5688447.42
cluster_25581964_316060571,-153212313,727234.5900000001,5693206.97
253761714,23430378#1,731002.44,5689566.51
211263178,-314643245#1,735187.69,5694030.699999999
265599470,24016570#3,736813.2,5689275.41
cluster_1344379192_59849817,-119750277,729147.8,5694753.88
317605439,-28894032,734113.27,5696470.199999999
144208162,-14625049#0,737698.28,5692454.96
cluster_314752877_314753766,28638271#4,742834.99,5686122.529999999
293238500,26734892#2,735705.56,5696923.6899999995
3368896750,438301510,742369.95,5694569.29
25390865,111650256#0,738761.49,5696658.34
